id	text	title
24	the last home game of the season.On June 7, 2012, Dempsey was voted the Fulham 'Player of the Season' by fans for the second consecutive season. On August 31, 2012, Fulham confirmed Dempsey's transfer to Tottenham Hotspur.Tottenham HotspurOn August 31, 2012, Dempsey joined Tottenham Hotspur on a three-year contract for a fee believed to be in the region of $9 million. The deal made Dempsey the highest salaried US soccer player of all time. With the 23 shirt that he wore at Fulham and the number 8 that he usually wears on international duty unavailable, he opted for the number	Clint Dempsey
25	2 jersey, more usually associated with the right-back, which he wore at Furman University. Dempsey scored his first and the eventual match-winning goal for Tottenham in a 3–2 win over Manchester United. It was the first time in 23 years that Tottenham had won at Old Trafford. He scored his second goal for Spurs in the 39th minute in an away game at Southampton in October. Dempsey's third and fourth goals were scored against Everton in an eventual 2–1 loss and a deflected effort against Reading on New Year's Day to help his Spurs side win 3–1. In the FA	Clint Dempsey
26	Cup 3rd round he scored a double against Coventry City. On January 20, 2013, in driving snow at White Hart Lane against league leaders Manchester United, Dempsey was able to salvage a dramatic 1–1 draw for Spurs by slotting home a pass from Aaron Lennon in the 93rd minute. The goal was his fourth in four appearances in 2013. On January 27, 2013, Dempsey scored a looping header against Leeds United at Elland Road, in the FA Cup to bring the score to 2–1, however Tottenham Hotspur couldn't draw level throughout the rest of the game, leaving the result at	Clint Dempsey
27	2–1 to Leeds at the whistle. Dempsey was unable to make an impression against his old club on March 17, when Fulham came away from White Hart Lane with a 1–0 victory. On April 21, Dempsey scored the first of three goals for Tottenham in a 3–1 win over Manchester City at White Hart Lane. On May 12, Dempsey scored a long range goal and added an assist while playing against Stoke City to help Spurs win 2–1 and keep them in contention for the fourth Champions League spot.On April 11, 2013, Dempsey scored two goals against FC Basel in	Clint Dempsey
28	the second leg of the Europa League quarter-finals to send the match into extra time. Tottenham eventually lost the match on penalties and thus were eliminated from Europe.Seattle Sounders FCOn August 3, 2013, Dempsey signed with MLS club Seattle Sounders FC as a Designated Player on a four-year contract, for a transfer fee of $9 million. He once again donned the number 2 shirt, forgoing the number 8 he usually wears for the United States and the number 23 he wore at Fulham. The previous user of the number 2 shirt, DeAndre Yedlin, moved to number 17. Dempsey made his	Clint Dempsey
29	league debut for Seattle on August 10, 2013 in a 2–1 victory over Toronto FC. Dempsey entered the match as a 34th-minute substitute after Obafemi Martins came off with an ankle injury.Loan to FulhamOn December 24, 2013, Dempsey re-signed with Fulham on a two-month loan. He made his return debut on January 4, 2014 in the Third Round of the FA Cup against Norwich City. Dempsey played the entire game which resulted in a 1–1 draw, and subsequently took part in the replay at Craven Cottage, a 3–0 victory for FulhamReturn to Seattle Sounders FCAlthough no announcement was made by	Clint Dempsey
30	Fulham FC, Dempsey appeared in the Seattle squad to face Sporting Kansas City in the season opener on March 10, 2014. Dempsey had made a return to form, scoring a hat-trick against Portland Timbers, and recording braces against FC Dallas and the Colorado Rapids, leaving his goal tally at 8 in 5 games for 2014.On June 16, 2015 in the fourth round of the Lamar Hunt U.S. Open Cup against rivals the Portland Timbers, Dempsey was sent off for ripping up referee Daniel Radford's notebook in protest at the dismissal of Michael Azira. The Sounders finished the match with seven	Clint Dempsey
31	men through three dismissals and an injury, and lost 1–3 at home. For the incident, he was given a three-match MLS suspension and a fine, and banned from the Open Cup for two years in addition to a second fine.International careerFor the national team, Dempsey has frequently lined up as a striker due to his scoring threat and aerial ability, but his preferred and more normal role is off the striker.Early career: 2005 and 2007 Gold Cups and 2006 World CupDempsey first played for the United States national team at the 2003 FIFA World Youth Championship in the United Arab	Clint Dempsey
32	Emirates. He made his first appearance with the senior team on November 17, 2004, against Jamaica in qualification for the 2006 World Cup, replacing Ramiro Corrales for the final 23 minutes of a 1–1 draw at the Columbus Crew Stadium.On May 28, 2005, he scored his first international goal on his sixth cap, a consolation in a 2–1 defeat to England at Soldier Field, Chicago, by heading in after a save by goalkeeper David James. Dempsey's first international tournament was the United States' victorious 2005 CONCACAF Gold Cup campaign; he netted their first goal, equalising as they came from behind	Clint Dempsey
33	to defeat Cuba 4–1 at Qwest Field in Seattle.On May 2, 2006, Dempsey was named to the US roster for the 2006 World Cup in Germany. He was the only American player to score a goal in the tournament, a group stage elimination, with his equalizing goal in the Americans' eventual 2–1 loss to Ghana. He won the highest individual honor in football in America when he was named Honda Player of the Year for 2006, beating Fulham teammates Kasey Keller and Brian McBride in a poll of sportswriters. Dempsey received 237 points in voting by 207 sports journalists to	Clint Dempsey
34	claim the award.Dempsey was also present as the United States defended their title at the 2007 Gold Cup, again scoring their opening goal, the sole goal in a victory against Guatemala at The Home Depot Center; his side-footed shot from Taylor Twellman's assist gave the nation victory in Bob Bradley's first match as coach.2009 Confederations Cup and 2010 World CupIn the United States' opening 2010 World Cup qualifier, Dempsey recorded the then fastest goal in US qualifying history with a chest trap and sliding shot 53 seconds into an 8–0 defeat of Barbados. But thereafter, Dempsey experienced a dip in	Clint Dempsey
35	form leading some to doubt his first-choice status with the national team. However, Dempsey turned his fortunes around in the 2009 FIFA Confederations Cup. In the final group stage match against Egypt, Dempsey scored a trademark diving header off a Jonathan Spector cross, making the final result 3–0. This, combined with Brazil's 3–0 victory against Italy in the other group match that was being played simultaneously, put the United States through to the semi-finals. In the semi-final match against Spain, Dempsey scored to put the USA up 2–0 to send them to the finals. He was named the Man of	Clint Dempsey
36	the Match for his performance. Dempsey scored in his third straight game in the Confederations Cup Final against Brazil, redirecting a similar cross from Spector in the 10th minute to open the scoring. Following the loss, he was awarded the Bronze Ball as the tournament's 3rd best performer. He ended the World Cup qualifying campaign tied with Landon Donovan as the team's second top scorer, behind Jozy Altidore, with five goals in thirteen matches.On June 12, 2010, Dempsey became the second American (after Brian McBride) to score in more than one World Cup when he scored the equalizer goal against	Clint Dempsey
37	England in the Americans' first game of the 2010 World Cup after the England goalkeeper Robert Green made a major error. Dempsey's disallowed goal later in the tournament against Algeria in the group stage was very controversial. Dempsey was called offside, but the replay showed that he was most likely not offside. Despite this call, his teammate Landon Donovan scored a late stoppage time goal to win the game 1–0.2011 Gold CupDuring the 2011 Gold Cup, Dempsey played a key role in helping the United States advance to the final. In the group stages he recorded a goal in a	Clint Dempsey
38	2–0 win over Canada, and in the quarter-finals, Dempsey also scored a goal in a 2–0 win over Jamaica. In the semi-finals against Panama, who had shockingly defeated the United States 1–2 in the group stage, Dempsey scored the only goal to advance the Americans to the final. With a sliding touch Dempsey redirected Landon Donovan's pass into the net.On February 29, 2012, Dempsey scored the lone goal in an international friendly win against four-time World champion Italy. Jozy Altidore assisted on the goal, allowing the United States to win for the first time against Italy in eleven games played	Clint Dempsey
39	since 1934.2014 World Cup and 2015 Gold CupDempsey broke his own fastest-goal record in World Cup qualifying on September 7, scoring just 39 seconds into a 2–1 defeat against Jamaica in Kingston. During a qualifying match against Guatemala on October 16, 2012, Dempsey scored his 29th and 30th international goal, tying him with Brian McBride for third most goals scored for the United States national team. The goals helped the United States advance into the final qualifying stage for the 2014 World Cup.In March 2013, Dempsey was given the captain's armband by Jürgen Klinsmann for the important World Cup qualifying	Clint Dempsey
40	matches versus Costa Rica and Mexico. On June 2, 2013, Dempsey scored two goals against Germany in a 4–3 win. The goals were his 34th and 35th overall for the national team, surpassing Eric Wynalda as second all-time top-goalscorer for the United States. Dempsey became the 14th American to reach 100 caps on September 6, 2013, netting a penalty in a 3–1 away defeat to Costa Rica in a qualifier.In 2014, Dempsey was named as captain of the 23 man United States squad ahead of the FIFA World Cup. On June 16, he scored against Ghana 29 seconds into the	Clint Dempsey
41	group play match. It was the fastest goal in American World Cup history, and fifth fastest goal in all-time World Cup history. With this goal, Dempsey also became the first American player to score in three consecutive World Cups. Dempsey went on to suffer a broken nose midway through the first half as the United States defeated Ghana 2–1. In the following match against Portugal, Dempsey notched his fourth World Cup goal in a 2–2 draw. This goal drew Dempsey level with Bert Patenaude as the second-highest goalscoring American in the World Cup, one behind Landon Donovan.Before the 2015 Gold	Clint Dempsey
42	Cup, Jurgen Klinsmann gave Michael Bradley the captain's armband, in wake of the U.S. Open Cup incident. During the Gold Cup, Dempsey scored both U.S. goals in a 2–1 group stage win over Honduras at the Toyota Stadium in his native Texas. Three days later, at his former club ground in New England, he struck the only goal to defeat Haiti, sending his team into the quarter-finals, where he scored his first international hat-trick in a 6–0 victory against Cuba. In the third-place play-off, he scored his seventh goal of the tournament to equalize for a 1–1 draw against Panama,	Clint Dempsey
43	and also netted his attempt in the penalty shootout which his team eventually lost; he finished the tournament as its top scorer.Career statisticsClubAs of January 17, 2016.InternationalAs of July 25, 2015.HonoursClubNew England RevolutionMLS Cup: Runner-up 2005, 2006FulhamUEFA Europa League: Runner-up 2009-10Seattle SoundersSupporters' Shield: 2014U.S. Open Cup: 2014InternationalFIFA Confederations Cup: Runner-up 2009CONCACAF Gold Cup: 2005, 2007IndividualFulham Player of the Season: 2010–11, 2011–12Confederations Cup Bronze Ball: 2009Confederations Cup Team of the Tournament: 2009CONCACAF Gold Cup Top Goalscorer: 2015U.S. Soccer Athlete of the Year: 2007, 2011, 2012Honda Player of the Year: 2006, 2011, 2012MLS Rookie of the Year: 2004Top ScorerFulham: 2010–11, 2011–12Personal lifeDempsey	Clint Dempsey
44	"is married to Bethany Keegan Dempsey. They have four children, a son named Clayton, a daughter named Elyse, a son named Jackson and a daughter named Sophia. In his spare time he is a fisherman.Dempsey is a Roman Catholic. He has spoken about his faith saying, ""I play to the best of my abilities and am thankful for the many opportunities and amazing success [God] has given me. Through it all, I want to do right, not make mistakes, and live a life that is pleasing to Him.""Dempsey is a fan of the NFL's Houston Texans.MusicOne of Dempsey's passions outside"	Clint Dempsey
45	"of soccer is hip hop music. Using the alias ""Deuce,"" he, along with fellow Texas rappers XO and the late Houston rapper Big Hawk from the Screwed Up Click, is featured rapping the song ""Don't Tread"" in a Nike soccer advertising campaign for the 2006 World Cup with the intention to showcase both the sport's working-class roots and the United States team ahead of the World Cup. The song's video is dedicated to his sister Jennifer, who, at age 16, was suddenly struck with a fatal brain aneurysm. At Dempsey's request, the video ends with a shot of him placing"	Clint Dempsey
46	a flower at her grave.EndorsementsDempsey, along with global cover star Lionel Messi, features on the cover of EA Sports' multi-platform video game FIFA 15 in the US & Canada.ReferencesExternal linksMLS player profileClint Dempsey career statistics at SoccerbasePremier League profileClint Dempsey – UEFA competition record	Clint Dempsey
47	Landon Timothy Donovan (born March 4, 1982) is an American retired professional soccer player, who played as a forward.A member of the inaugural class of the U.S. Soccer residency program in Bradenton, Florida, Donovan was declared player of the tournament for his role in the United States U17 squad that finished fourth in the 1999 FIFA U-17 World Championship. Donovan later signed with the German team Bayer Leverkusen. In 2005, after six years with the club, the majority of which were spent on loan at the San Jose Earthquakes, Donovan moved to the Los Angeles Galaxy. He later returned to	Landon Donovan
48	the Bundesliga for a three-month spell at the start of 2009 on loan to Bayern Munich, and twice went on short loans to English Premier League team Everton, in 2010 and 2012.In Major League Soccer, Donovan won a record six MLS Cups and is both the league's all-time top scorer with 144 goals and the league's all-time assists leader with 136.For the United States men's national team, Donovan is the all-time leader in scoring and assists, and has the most caps of all active players. Donovan is the only American player to reach the 50 goals/50 assists mark. He is	Landon Donovan
49	a four-time winner of the U.S. Soccer Athlete of the Year award (the only man to do so and the first man to win in consecutive years), as well as the only seven-time winner of the Honda Player of the Year award. Donovan starred in the U.S. team that reached the quarter-finals of the 2002 FIFA World Cup where he received the Best Young Player Award. His three goals in the 2010 FIFA World Cup made Donovan the highest scoring male American player in World Cup history and one of the three male American players to score in more than	Landon Donovan
50	one World Cup (along with Brian McBride and Clint Dempsey). In 2015, he was named by The Guardian as the greatest male American soccer player of all-time.On January 15, 2015, Major League Soccer announced it would change the name of The Major League Soccer MVP Award to the Landon Donovan MVP Award in honor of Donovan.Early life and educationDonovan was born on March 4, 1982, in Ontario, California, to Donna Kenney-Cash, a special education teacher, and Tim Donovan, a semi-professional ice hockey player originally from Canada, which makes Donovan a Canadian citizen by descent. His mother raised him and his	Landon Donovan
51	siblings in Redlands, California.When Donovan was six, his mother allowed him to join an organized league, and he scored seven goals in his first game. Donovan was a member of Cal Heat – a club based in nearby Rancho Cucamonga under coach Clint Greenwood. In 1997, he was accepted into U.S. Youth Soccer's Olympic Development Program. He attended Redlands East Valley High School when not engaged in soccer activities elsewhere. In 1999, Donovan attended the IMG Academy in Bradenton, Florida, part of U.S. Soccer's training program.Club careerBayer Leverkusen and San Jose EarthquakesLater in 1999 Donovan signed a six-year contract for	Landon Donovan
52	"German club Bayer Leverkusen, whose sporting director Michael Reschke spotted him at a youth tournament in Europe. Despite having the opportunity of a lifetime, Donovan had trouble ""adapting to the German culture"" and spent much of his time in the U.S. training with the United States U-17 National Team. Unhappy with his situation in Germany, Donovan was loaned to the San Jose Earthquakes of Major League Soccer for the 2001 season. In MLS, Donovan had immediate success, leading the Earthquakes to MLS Cup championships in 2001 and 2003 and becoming one of the only recognizable faces of soccer in America."	Landon Donovan
53	In four years in the league, he scored 32 goals and 29 assists in league play, and 10 goals and six assists in the playoffs. Two of those goals were in the 2003 MLS Cup, a 4–2 Earthquakes triumph over the Chicago Fire. Donovan earned Man of the Match for his actions. He was named U.S. Soccer Athlete of the Year in 2003.In 2004 Donovan became the first man to be named U.S. Soccer Athletes of the Year three years in a row, before returning to Bayer Leverkusen in 2005. After playing seven games with Leverkusen, only two of which	Landon Donovan
54	were starts, Donovan stated his intentions to return to MLS. Despite a late offer from English club Portsmouth, Bayer Leverkusen officials respected his wishes. However, because San Jose GM Alexi Lalas had traded away Donovan's rights, the Los Angeles Galaxy, his hometown team, were able to trade leading scorer Carlos Ruiz to FC Dallas to get on top of the MLS allocation order one week before the season started.Los Angeles GalaxyIn his first season with the LA Galaxy, Donovan scored twelve league goals and ten assists and added four goals and an assist in the playoffs as the Galaxy won	Landon Donovan
55	the MLS Cup (his third MLS championship to date). He was named to the MLS All-Time Best XI after the season. In his second season with the Galaxy, Donovan scored twelve league goals and eight assists. Donovan also scored three goals in the Open Cup. Despite this, Donovan and the Galaxy failed to make the playoffs and lost in the Open Cup to Chicago Fire. Donovan's playoff goals make him MLS' second all-time leading scorer in the playoffs with fourteen, behind Carlos Ruiz with fifteen.Donovan had a mixed year with the Galaxy in 2007. Upon the signing and arrival of	Landon Donovan
56	David Beckham, Donovan relinquished his captaincy to the English superstar. In the 2007 SuperLiga tournament, Donovan was the top scorer. Donovan scored a goal in every game except for the final. At this point in his career, Donovan had eighty-four all-time regular season goals putting him in seventh place on the league's all-time scoring list. Although the 2008 season was a disappointment for the Galaxy, it was a banner year for Donovan as he scored twenty goals and nine assists in twenty-five games, forming a strong offensive partnership with David Beckham and Edson Buddle.After his former national team manager Bruce	Landon Donovan
57	Arena was named Galaxy head coach and Beckham joined AC Milan on loan in early 2009, Donovan once again was given the club captaincy on a permanent basis. In July 2009, Donovan received praise and criticism for his critical comments about Beckham in Sports Illustrated journalist Grant Wahl's book The Beckham Experiment, calling Beckham a poor captain and teammate. He later apologized to Beckham for discussing his concerns to a reporter rather than to him directly. The two reconciled upon Beckham's midseason return to Los Angeles and Donovan enjoyed an outstanding 2009 campaign, winning the league's Most Valuable Player and	Landon Donovan
58	MLS Goal of The Year 2009 award and leading the Galaxy to MLS Cup 2009, which they lost on penalties. Following the season Donovan agreed to a four-year extension to his contract with the Galaxy, with clauses that allow him to seek loans during the MLS offseason. On August 1, 2010, Donovan scored the 100th goal of his MLS career. On September 18, 2010, he became the all-time leading scorer for the LA Galaxy.The Galaxy had another successful campaign in 2010 winning the Supporters' Shield for the first time since 2003. In that campaign, Donovan notched 7 goals and a	Landon Donovan
59	team high 16 assists. In the playoffs, the Galaxy would ultimately succumb to FC Dallas in the semifinals.In 2011, the Galaxy again won the MLS Supporter's Shield. In the 2011 MLS Cup, Donovan scored the title-clinching goal in the 72nd minute over the Houston Dynamo, securing his 4th MLS Cup title. Donovan was named the MLS Cup MVP.In October 2012, Donovan expressed his desire to take a break from his professional soccer career, citing physical and mental exhaustion as the main reasons. In the Galaxy's next game, the 2012 MLS Cup, a rematch with Houston, Donovan converted a penalty kick	Landon Donovan
60	in the 65th minute of play to give LA a 2–1 lead. The goal was Donovan's fifth in MLS Cup Finals. The Galaxy went on to win their second straight MLS Cup, 3–1.Donovan returned to training with the Galaxy on March 25, 2013 and made his season debut five days later against Toronto FC, coming on as a 61st-minute substitute. However, upon his return it was announced that he would be forced to relinquish the captaincy to Robbie Keane for the 2013 season. He scored two goals against C.D. Chivas USA tying him with Jeff Cunningham together as the top	Landon Donovan
61	MLS goalscorer with 134 goals. On May 25, 2014, Donovan scored twice against the Philadelphia Union to break Cunningham's record of 134, making Donovan Major League Soccer's All-Time leading goalscorer with 136 goals. On August 6, 2014, Donovan scored the winning goal at the MLS All Star game, getting the ball past Bayern Munich goalkeeper Manuel Neuer at the 70th minute, he was subsequently substituted for Sporting Kansas City striker Dom Dwyer and gave the captain's armband to Canadian international Will Johnson. On August 7, 2014, Donovan announced that he would be retiring at the end of the 2014 Major	Landon Donovan
62	League Soccer season; the season ended with the Galaxy winning their fourth MLS Cup of the Donovan era on December 7, 2014.Loans to other clubsIn November 2008 Donovan trained with Bayern Munich, before joining the German club on loan until the start of the 2009 MLS season in mid-March. During his stay with Bayern, Donovan had appearances in five friendly matches, in which he scored four goals, five league games, and one DFB Cup match. At the end of the loan period, Bayern declined to extend his loan.After the 2009 MLS season had finished, Donovan joined English Premier League side	Landon Donovan
